bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
PRJNA428596,,SAMN08709277,,SRX3788908,SRR6832669,S,,S,,,,R,R,S,S,,,,R,R
PRJNA428596,,SAMN08709278,,SRX3788909,SRR6832668,S,,S,,,,S,R,S,S,,,,S,R
PRJNA428596,,SAMN08709279,,SRX3788906,SRR6832671,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709280,,SRX3788907,SRR6832670,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709281,,SRX3788914,SRR6832663,S,,S,,,,S,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709282,,SRX3788915,SRR6832662,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709283,,SRX3788531,SRR6832511,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709284,,SRX3788530,SRR6832512,S,,S,,,,R,R,R,S,,S,R,R,R
PRJNA428596,,SAMN08709285,,SRX3788533,SRR6832509,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709286,,SRX3788532,SRR6832510,S,,S,,,,S,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709287,,SRX3788527,SRR6832515,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709288,,SRX3788526,SRR6832516,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709289,,SRX3788529,SRR6832513,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709290,,SRX3788528,SRR6832514,S,,S,,,,S,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709291,,SRX3788535,SRR6832507,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709292,,SRX3788534,SRR6832508,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709293,,SRX3788681,SRR6832361,S,,S,,,,S,S,S,S,,,,S,R
PRJNA428596,,SAMN08709294,,SRX3788682,SRR6832360,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709295,,SRX3788683,SRR6832359,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709296,,SRX3788684,SRR6832358,S,,S,,,,S,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709297,,SRX3788685,SRR6832357,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709298,,SRX3788686,SRR6832356,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709299,,SRX3788687,SRR6832355,S,,S,,,,R,R,S,S,,,,R,R
PRJNA428596,,SAMN08709300,,SRX3788688,SRR6832354,R,,R,,,,R,R,R,R,,S,R,R,R
PRJNA428596,,SAMN08709301,,SRX3788689,SRR6832353,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709302,,SRX3788690,SRR6832352,S,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709303,,SRX3788825,SRR6832752,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709304,,SRX3788824,SRR6832753,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709305,,SRX3788633,SRR6832409,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709306,,SRX3788632,SRR6832410,S,,S,,,,S,R,S,S,,,,S,S
PRJNA428596,,SAMN08892392,,SRX3906445,SRR6964614,,,S,,,,S,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892393,,SRX3906444,SRR6964615,,,S,,,,S,S,S,S,,S,,S,R
PRJNA428596,,SAMN08892394,,SRX3906447,SRR6964612,,,S,,,,S,R,S,S,,S,S,R,S
PRJNA428596,,SAMN08892395,,SRX3906446,SRR6964613,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892396,,SRX3906449,SRR6964610,,,S,,,,R,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892397,,SRX3906448,SRR6964611,,,S,,,,S,S,S,,,,,S,S
PRJNA428596,,SAMN08892398,,SRX3906451,SRR6964608,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892399,,SRX3906450,SRR6964609,,,S,,,,S,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892400,,SRX3906567,SRR6964492,,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08892401,,SRX3906566,SRR6964493,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892402,,SRX3906419,SRR6964640,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892403,,SRX3906418,SRR6964641,,,S,,,,S,S,S,S,,S,,S,R
PRJNA428596,,SAMN08892404,,SRX3906421,SRR6964638,,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08892405,,SRX3906420,SRR6964639,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892406,,SRX3906423,SRR6964636,,,S,,,,R,R,S,S,,S,,R,S
PRJNA428596,,SAMN08892407,,SRX3906422,SRR6964637,,,S,,,,S,S,S,R,,S,,S,R
PRJNA428596,,SAMN08892408,,SRX3906425,SRR6964634,,,S,,,,S,R,S,S,,S,,R,S
PRJNA428596,,SAMN08892409,,SRX3906424,SRR6964635,,,S,,,,S,S,S,R,,S,,S,S
PRJNA428596,,SAMN08892410,,SRX3906417,SRR6964642,,,R,,,,R,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892411,,SRX3906416,SRR6964643,,,S,,,,S,S,S,S,,S,S,S,R
PRJNA428596,,SAMN08892412,,SRX3906508,SRR6964551,,,S,,,,R,R,S,S,,S,R,R,R
