run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin,thioacetazone
SRR6982015,S,,PRJNA428596,SAMN08913151,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982016,S,,PRJNA428596,SAMN08913152,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982017,S,,PRJNA428596,SAMN08913153,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982018,S,,PRJNA428596,SAMN08913312,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982019,S,,PRJNA428596,SAMN08913313,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982020,S,,PRJNA428596,SAMN08913310,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6982021,S,,PRJNA428596,SAMN08913311,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982022,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982023,S,,PRJNA428596,SAMN08913317,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982024,S,,PRJNA428596,SAMN08913314,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982025,S,,PRJNA428596,SAMN08913315,S,,,,,,,,S,S,,,S,S,,S,R,,
SRR6982026,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982027,S,,PRJNA428596,SAMN08913319,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982028,S,,PRJNA428596,SAMN08913187,S,,,,,,,,S,S,,,S,S,,R,S,,
SRR6982029,S,,PRJNA428596,SAMN08913288,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982030,S,,PRJNA428596,SAMN08913219,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982031,S,,PRJNA428596,SAMN08913218,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982032,S,,PRJNA428596,SAMN08913289,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982033,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982034,S,,PRJNA428596,SAMN08912829,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982035,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982036,S,,PRJNA428596,SAMN08912827,S,,,,,,,,S,S,,,S,S,,S,R,,
SRR6982037,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982038,S,,PRJNA428596,SAMN08912825,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982039,S,,PRJNA428596,SAMN08912822,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982040,S,,PRJNA428596,SAMN08912823,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982041,S,,PRJNA428596,SAMN08912820,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982042,S,,PRJNA428596,SAMN08912821,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982043,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982044,S,,PRJNA428596,SAMN08913280,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982045,S,,PRJNA428596,SAMN08913302,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982046,S,,PRJNA428596,SAMN08913303,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982047,S,,PRJNA428596,SAMN08913281,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982048,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982049,S,,PRJNA428596,SAMN08913132,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982050,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982051,S,,PRJNA428596,SAMN08913304,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982052,S,,PRJNA428596,SAMN08913305,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982053,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982054,S,,PRJNA428596,SAMN08913133,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982055,S,,PRJNA428596,SAMN08913309,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982056,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982057,S,,,,S,,,,,,,S,R,S,S,,S,R,,S,R,,
