#Sample.sample_id,Isolate.isolate_id,Seqrep.ena_run_accession,Isolate.ena_experiment_accession,Sample.ena_sample_accession,Sample.ena_study_accession,Pipeline_output,vcf
29173,29173,SRR6046329,None,SAMN07660049,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/73/29173,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29174,29174,SRR6046246,None,SAMN07660055,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/74/29174,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29175,29175,SRR6046034,None,SAMN07660056,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/75/29175,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29176,29176,SRR6045106,None,SAMN07660057,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/76/29176,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29180,29180,SRR6045165,None,SAMN07660063,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/80/29180,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29182,29182,SRR6045529,None,SAMN07660067,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/82/29182,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29183,29183,SRR6045915,None,SAMN07660068,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/83/29183,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29184,29184,SRR6045584,None,SAMN07660069,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/84/29184,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29185,29185,SRR6044912,None,SAMN07660070,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/85/29185,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29186,29186,SRR6045000,None,SAMN07660073,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/86/29186,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29187,29187,SRR6045905,None,SAMN07660074,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/87/29187,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29189,29189,SRR6045284,None,SAMN07660078,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/89/29189,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29190,29190,SRR6045447,None,SAMN07660080,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/90/29190,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29191,29191,SRR6046786,None,SAMN07660082,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/91/29191,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29193,29193,SRR6046634,None,SAMN07660085,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/93/29193,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29194,29194,SRR6046865,None,SAMN07660086,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/94/29194,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29197,29197,SRR6046177,None,SAMN07660096,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/97/29197,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29198,29198,SRR6045135,None,SAMN07660097,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/98/29198,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29200,29200,SRR6045148,None,SAMN07660100,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/00/29200,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29201,29201,SRR6045316,None,SAMN07660101,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/01/29201,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29202,29202,SRR6045691,None,SAMN07660103,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/02/29202,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29203,29203,SRR6046891,None,SAMN07660104,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/03/29203,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29205,29205,SRR6046405,None,SAMN07660108,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/05/29205,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29206,29206,SRR6045243,None,SAMN07660111,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/06/29206,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29207,29207,SRR6046895,None,SAMN07660112,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/07/29207,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29209,29209,SRR6046481,None,SAMN07660114,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/09/29209,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29210,29210,SRR6045873,None,SAMN07660116,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/10/29210,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29211,29211,SRR6046413,None,SAMN07660120,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/11/29211,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29212,29212,SRR6046475,None,SAMN07660123,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/12/29212,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29216,29216,SRR6045424,None,SAMN07660131,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/16/29216,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29218,29218,SRR6046236,None,SAMN07660137,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/18/29218,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29219,29219,SRR6044937,None,SAMN07660141,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/19/29219,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29222,29222,SRR6045261,None,SAMN07660146,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/22/29222,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29223,29223,SRR6045197,None,SAMN07660147,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/23/29223,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29226,29226,SRR6046901,None,SAMN07660153,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/26/29226,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29227,29227,SRR6046248,None,SAMN07660155,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/27/29227,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29228,29228,SRR6046258,None,SAMN07660156,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/28/29228,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29229,29229,SRR6046192,None,SAMN07660157,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/29/29229,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29230,29230,SRR6045343,None,SAMN07660158,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/30/29230,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
